WiFi	LTE-U	WiFi_MIN	LTE-U_MIN
13.0	5.617772234063704	13.0	5.2
8.960107918142583	12.977566947800046	6.75	6.75
13.5	13.5	8.666666666666666	13.5
6.632892312453845	9.506231578218676	5.2	8.666666666666666
11.684004731786118	13.288573746394604	6.75	8.666666666666666
7.490613378900231	9.0	4.5	9.0
9.33958765013393	9.0	6.5	9.0
6.75	5.74340148097854	6.75	4.5
9.47589673674424	9.0	6.5	9.0
12.485984610643522	6.223517550513784	6.75	5.2
10.06246932115067	9.0	6.5	9.0
9.618602864824355	10.004551736493495	6.75	8.25
9.61480270153433	9.0	8.666666666666666	9.0
9.875393369364593	9.0	6.75	9.0
17.15412894357081	6.75	13.0	6.75
10.428875298191802	6.5	8.666666666666666	6.5
13.5	6.75	13.5	6.75
11.828016460136046	7.725150819454865	6.75	6.714285714285714
8.666666666666666	13.5	8.666666666666666	13.5
8.666666666666666	7.4222783267198675	8.666666666666666	6.625
10.01626666715046	6.191928924033411	8.666666666666666	5.2
6.75	11.123460301423052	6.75	8.25
13.5	9.0	13.5	9.0
10.235590368147678	5.2715935039904265	6.75	5.2
6.75	9.874213156651798	6.75	8.666666666666666
6.75	5.2	6.75	5.2
13.0	13.5	13.0	13.5
6.75	6.75	6.75	6.75
9.581551443560427	7.890372076596793	8.666666666666666	6.625
6.75	6.75	6.75	6.75
8.666666666666666	11.265427998779316	8.666666666666666	6.75
